name,style,rarity,bundle,season
Animality,Colour,Rare,Crimson Heist Battlepass,Crimson Heist
Autumn Longbow,Colour,Epic,North Star Battlepass,North Star
Black,Colour,Common,Default,Steel Wave
Blue-hued Camo,Colour,Rare,Crimson Heist Battlepass,Crimson Heist
Brown,Colour,Common,Default,Steel Wave
Chroma Streaks,Colour,Epic,Class Of Zero Battlepass,Shadow Legacy
Dystopian Survival,Colour,Epic,Apocalypse Event; Apocalypse Packs,Crimson Heist
Federation defense,Colour,Epic,Rick and Morty Bundle; Sledge Gromflomite Bundle,Crimson Heist
First Class Bulgary,Colour,Legendary,Crimson Heist Battlepass,Crimson Heist
Frontlines,Colour,Legendary,Developer,Neon Dawn
Gray,Colour,Common,Default,Steel Wave
Improvised Guard,Colour,Rare,North Star Battlepass,North Star
None,Colour,Default,Default,Steel Wave
Portal Gun,Colour,Epic,Rick and Morty Bundle; Smoke Pickle Rick Bundle,Crimson Heist
S.I 2021 Blue Team,Colour,Epic,Six Invitational 2021 Battlepass,Neon Dawn
S.I 2021 Green Team,Colour,Epic,Six Invitational 2021 Battlepass,Neon Dawn
S.I 2021 Orange Team,Colour,Epic,Six Invitational 2021 Battlepass,Neon Dawn
S.I 2021 Red Team,Colour,Epic,Six Invitational 2021 Battlepass,Neon Dawn
Search and Rescue,Colour,Epic,North Star Battlepass,North Star
Signature Six 21,Colour,Legendary,Six Invitational 2021 Battlepass,Neon Dawn
Tall Grass,Colour,Legendary,Six Invitational 2021 Battlepass,Neon Dawn
Thermal Antipodes,Colour,Epic,Calefaction Bundle,Crimson Heist
Trekking Miscellany,Colour,Epic,North Star Battlepass,North Star
Velveteen,Colour,Rare,Tour de Force Battlepass,Steel Wave
Wisdom and Hospitality,Colour,Epic,Medicant Bundle,North Star
