name,collection,rarity,availability,bundle,season
ELITEFUZECHIBI,Chibi,Legendary,Available,2nd Shock Army Elite,White Noise
LITTLEANGEL,Chibi,Legendary,Available,2nd Shock Army Elite,White Noise
TROUBLEMAKER,Chibi,Legendary,Removed,Alpha Packs,Chimera
BOXHEAD,Chibi,Legendary,Removed,Alpha Packs,Chimera
ELITEBANDITCHIBI,Chibi,Legendary,Available,Axle 13 Elite,Burnt Horizon
LITTLEELITEASH,Chibi,Legendary,Available,Axle 13 Elite,Burnt Horizon
R6EXTREMEFAN,Chibi,Legendary,Available,Axle 13 Elite,Burnt Horizon
ESPORTSCHIBI19,Chibi,Legendary,Removed,Convention Rewards,Phantom Sight
R6FAN,Chibi,Legendary,Removed,Convention Rewards,Phantom Sight
ELITEZOFIACHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEDOKKAEBICHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEMUTECHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEJAGERCHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEROOKCHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEBLACKBEARDCHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEMAVERICKCHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEELACHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEFROSTCHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITEMIRACHIBI,Chibi,Legendary,Available,Duch Bojowy Elite,Void Edge
ELITESLEDGECHIBI,Chibi,Legendary,Available,L Detachment Elite,Red Crow
ELITEGLAZCHIBI,Chibi,Legendary,Available,L Detachment Elite,Red Crow
ELITEPULSECHIBI,Chibi,Legendary,Available,Lucky Seventh Elite,Operation Health
ELITETWITCHCHIBI,Chibi,Legendary,Available,Lucky Seventh Elite,Operation Health
ELITEKALICHIBI,Chibi,Legendary,Available,Lucky Seventh Elite,Operation Health
ELITECAVEIRACHIBI,Chibi,Legendary,Available,Lucky Seventh Elite,Operation Health
HARRYCHIBI,Chibi,Legendary,Removed,Mini-Battlepass,Phantom Sight
ELITELESIONCHIBI,Chibi,Legendary,Removed,Mini-Battlepass,Phantom Sight
ELITEHIBANACHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
ELITETHATCHERCHIBI,Chibi,Legendary,Available,Onkochishin Elite,Burnt Horizon
