name,safename,realname,birthplace,age,date_of_birth,season_introduced,health,speed,unit,country_code,roles,side
Solid Snake,solid snake,[Classified],"America, United States",,,Y11S1,1,3,Rainbow,US,"['Intel', 'Front line']",attacker
Tubarão,tubarao,Isaac Nunes Oliveira,"Ponta Delgada, Portugal",35.0,November 24th,Y8S4,2,2,Wolfguard,PT,"['ANTI-ENTRY', 'ANTI-GADGET']",defender
Solis,solis,Ana Valentina Díaz,"Zipaquirá, Colombia",37.0,September 18th,Y7S4,2,2,AFEAU,CO,['Intel Gatherer'],defender
Grim,grim,Charlie Tho Keng Boon,"Jurong, Singapore",39.0,April 5th,Y7S3,1,3,Nighthaven,SG,"['Intel Gatherer', 'Area Denial']",attacker
Sens,sens,Néon Ngoma Mutombo,"Brussels, Belgium",30.0,March 3rd,Y7S2,1,3,SFG,BE,"['Covering Fire', 'Area Denial', 'Crowd Control']",attacker
Lion,lion,Olivier Flament,"Toulouse, France",31.0,August 29th,Y3S1,2,2,GIGN,FR,"['Anti Roam', 'Back Line', 'Crowd Control', 'Intel Gatherer']",attacker
Finka,finka,Lera Melnikova,"Gomel, Belarus",32.0,June 7,Y3S1,2,2,SPETSNAZ,RU,"['Back Line', 'Buff']",attacker
Vigil,vigil,Chul Kyung Hwa,REDACTED,34.0,January 17th,Y2S4,1,3,707TH SMB,SK,"['Intel Denier', 'Roam']",defender
Sentry,sentry,Undefined,Undefined,0.0,Undefined,Y9S2,2,2,ROS,Undefined,"['Defender', 'Support']",defender
Deimos,deimos,Gerald Morris,"Birmingham, Alabama",51.0,December 24th,Y9S1,2,2,Keres Legion,US,"['INTEL', 'MAP CONTROL']",attacker
Ram,ram,Bo-Ram Choi,"Busan, South Korea",37.0,April 25,Y8S3,3,1,Redhammer,KR,['Breach'],attacker
Fenrir,fenrir,Emil Svensson,"Uppsala, Sweden",34.0,December 3rd,Y8S2,2,2,Redhammer,SE,['Trapper'],defender
Brava,brava,Nayara Cardoso,"Curitiba, Brazil",40.0,January 10th,Y8S1,1,3,Viperstrike,BR,"['Intel', 'Anti Gadget']",attacker
Azami,azami,Kana Fujiwara,"Kyoto, Japan",28.0,September 6th,Y7S1,2,2,Viperstrike,JP,['Area Denial'],defender
Thorn,thorn,Brianna Skehan,"County Kildare, Ireland",28.0,June 18th,Y6S4,2,2,GARDA SÍOCHÁNA,IE,"['Anchor', 'Secure']",defender
Osa,osa,Anja Katarina Janković,"Split, Croatia",27.0,April 29th,Y6S3,3,1,NIGHTHAVEN,HR,"['Intel Gatherer', 'Area Denial', 'Anti Roam']",attacker
Thunderbird,thunderbird,Mina Sky,Nakoda Territories,36.0,April 1st,Y6S2,2,2,Wolfguard,CA,"['Secure', 'Roam', 'Buff']",defender
Flores,flores,Santiago Miguel Lucero,"Buenos Aires, Argentina",38.0,April 1st,Y6S1,2,2, Ghosteyes,AR,"['Soft Breach', 'Disable', 'Area Denial', 'Back Line']",attacker
Aruni,aruni,Apha Tawanroong,"Ta Phraya District, Thailand",42.0,August 9th,Y5S4,3,1,NIGHTHAVEN,TH,"['Secure', 'Intel Gatherer', 'Anchor']",defender
Zero,zero,Samuel Leo Fisher,"Baltimore, Maryland",63.0,August 8th,Y5S3,1,3,ROS,US,"['Intel Denier', 'Intel Gatherer']",attacker
Ace,ace,Håvard Haugland,"Lærdalsøyri, Norway",33.0,March 15th,Y5S2,2,2,NIGHTHAVEN,NO,"['Front Line', 'Hard Breach']",attacker
Melusi,melusi,Thandiwe Ndlovu,"Louwsburg, South Africa",32.0,June 16th,Y5S2,3,1,ITF,SA,"['Crowd Control', 'Intel Gatherer', 'Secure']",defender
Oryx,oryx,Saif Al Hadid,"Azraq, Jordan",45.0,July 3rd,Y5S1,2,2,UNAFFILIATED,JO,"['Roam', 'Soft Breach']",defender
