weapon,name,rarity,availability,bundle,season
"M590A1, L85A2, P226 Mk 25, SMG-11, AR33, FMG-9, MP5K, G36C, R4-C, M45 MEUSOC, 5.7 USG, M1014, 556xi, UMP45, F2, 417, SG-CQB, P9, LFP586, MP5, P90, OTs-03, GSH-18, PMM, 6P41, AK-12, 9x19 VSN, SASG-12, P12, AUG A2, 552 Commando, G8A1, M870, 416-C, MP7, C8-SFW, CAMRS, Mk1 9mm, Super 90, 9mm C1, MK17 CQB, SR-25, D-50, MPX, SPAS-12, PARA-308, M249, PRB92, M12, SPAS-15, Luison, TYPE-89, SuperNova, P229, BEARING 9, MP5 SD, C7E, PDW-9, ITA12L, USP40, ITA12S, Vector, T-95 LSW, Six12, Q-929, Six12 SD, T-5 SMG, LMG-E, M762, RG15, Scorpion Evo 3 A1, FO-12, MK 14 EBR, BOSG 12.2, C75 Auto, SMG-12, K1A, V308, Spear .308, ALDA 5.56, ACS12, Bailiff 410, Keratos .357, Mx4 Storm, AR-15.50, M4, 1911 TACOPS, P-10C, SPSMG9, AK-74M, ARX200, .44 Mag Semi-Auto, AUG A3, TCSG12, F90, M249 SAW, Super Shorty, SDP 9mm, Commando 9, P10 RONI, CSRX 300, SC3000K, DP27, GONNE-6",Aurous Alabaster,Legendary,Removed,Aurous Alabaster Seasonal Skin; Year 5 Season Pass,Shifting Tides
"M590A1, L85A2, P226 Mk 25, SMG-11, AR33, FMG-9, MP5K, G36C, R4-C, M45 MEUSOC, 5.7 USG, M1014, 556xi, UMP45, F2, 417, SG-CQB, P9, LFP586, MP5, P90, OTs-03, GSH-18, PMM, 6P41, AK-12, 9x19 VSN, SASG-12, P12, AUG A2, 552 Commando, G8A1, M870, 416-C, MP7, C8-SFW, CAMRS, Mk1 9mm, Super 90, 9mm C1, MK17 CQB, SR-25, D-50, MPX, SPAS-12, PARA-308, M249, PRB92, M12, SPAS-15, Luison, TYPE-89, SuperNova, P229, BEARING 9, MP5 SD, C7E, PDW-9, ITA12L, USP40, ITA12S, Vector, T-95 LSW, Six12, Q-929, Six12 SD, T-5 SMG, LMG-E, M762, RG15, Scorpion Evo 3 A1, FO-12, MK 14 EBR, BOSG 12.2, C75 Auto, SMG-12, K1A, V308, Spear .308, ALDA 5.56, ACS12, Bailiff 410, Keratos .357, Mx4 Storm, AR-15.50, M4, 1911 TACOPS, P-10C, SPSMG9, AK-74M, ARX200, .44 Mag Semi-Auto, AUG A3, TCSG12, F90, M249 SAW, Super Shorty, SDP 9mm, Commando 9, P10 RONI, CSRX 30022:36 30/03/2024, SC3000K, DP27, GONNE-6",Fire,Legendary,Removed,Fire Universal Skin; Beta Tester; Alpha Tester,Game Launch
"M590A1, L85A2, P226 Mk 25, SMG-11, AR33, FMG-9, MP5K, G36C, R4-C, M45 MEUSOC, 5.7 USG, M1014, 556xi, UMP45, F2, 417, SG-CQB, P9, LFP586, MP5, P90, OTs-03, GSH-18, PMM, 6P41, AK-12, 9x19 VSN, SASG-12, P12, AUG A2, 552 Commando, G8A1, M870, 416-C, MP7, C8-SFW, CAMRS, Mk1 9mm, Super 90, 9mm C1, MK17 CQB, SR-25, D-50, MPX, SPAS-12, PARA-308, M249, PRB92, M12, SPAS-15, Luison, TYPE-89, SuperNova, P229, BEARING 9, MP5 SD, C7E, PDW-9, ITA12L, USP40, ITA12S, Vector, T-95 LSW, Six12, Q-929, Six12 SD, T-5 SMG, LMG-E, M762, RG15, Scorpion Evo 3 A1, FO-12, MK 14 EBR, BOSG 12.2, C75 Auto, SMG-12, K1A, V308, Spear .308, ALDA 5.56, ACS12, Bailiff 410, Keratos .357, Mx4 Storm, AR-15.50, M4, 1911 TACOPS, P-10C, SPSMG9, AK-74M, ARX200, .44 Mag Semi-Auto, AUG A3, TCSG12, F90, M249 SAW, Super Shorty, SDP 9mm, Commando 9, P10 RONI, CSRX 300, SC3000K, DP27, GONNE-6",First Class Burglary,Legendary,Removed,First Class Burglary Seasonal Skin; Crimson Heist Battlepass,Crimson Heist
"M590A1, L85A2, P226 Mk 25, AR33, FMG-9, MP5K, G36C, R4-C, M45 MEUSOC, 5.7 USG, M1014, 556xi, UMP45, F2, 417, SG-CQB, P9, LFP586, MP5, P90, OTs-03, GSH-18, PMM, 6P41, AK-12, SASG-12, P12, AUG A2, 552 Commando, G8A1, M870, 416-C, MP7, C8-SFW, CAMRS, Mk1 9mm, Super 90, 9mm C1, MK17 CQB, SR-25, D-50, MPX, SPAS-12, PARA-308, M249, PRB92, M12, SPAS-15, Luison, TYPE-89, SuperNova, P229, BEARING 9, MP5 SD, C7E, PDW-9, ITA12L, USP40, ITA12S, Vector, T-95 LSW, Six12, Q-929, Six12 SD, T-5 SMG, LMG-E, M762, RG15, Scorpion Evo 3 A1, FO-12, MK 14 EBR, BOSG 12.2, C75 Auto, SMG-12, K1A, V308, Spear .308, ALDA 5.56, ACS12, Bailiff 410, Keratos .357, Mx4 Storm, AR-15.50, M4, 1911 TACOPS, P-10C, SPSMG9, AK-74M, ARX200, .44 Mag Semi-Auto, AUG A3, TCSG12, F90, M249 SAW, Super Shorty, SDP 9mm, Commando 9, P10 RONI, SC3000K, DP27, GONNE-6",Frontlines,Legendary,Removed,Frontlines Universal Skin; Developer,Game Launch
"M590A1, L85A2, SMG-11, AR33, FMG-9, MP5K, G36C, R4-C, M45 MEUSOC, 5.7 USG, M1014, 556xi, UMP45, F2, 417, SG-CQB, P9, LFP586, MP5, P90, GSH-18, PMM, 6P41, AK-12, 9x19 VSN, P12, AUG A2, 552 Commando, G8A1, M870, 416-C, MP7, C8-SFW, CAMRS, Mk1 9mm, Super 90, 9mm C1, MK17 CQB, SR-25, D-50, MPX, SPAS-12, PARA-308, M249, PRB92, M12, SPAS-15, Luison, TYPE-89, SuperNova, P229, BEARING 9, MP5 SD, PDW-9, ITA12L, USP40, ITA12S, Vector, T-95 LSW, Six12, Q-929, Six12 SD, T-5 SMG, LMG-E, M762, RG15, Scorpion Evo 3 A1, FO-12, MK 14 EBR, BOSG 12.2, C75 Auto, SMG-12, K1A, V308, Spear .308, ALDA 5.56, ACS12, Bailiff 410, Keratos .357, Mx4 Storm, AR-15.50, M4, 1911 TACOPS, P-10C, SPSMG9, ARX200, .44 Mag Semi-Auto, AUG A3, TCSG12, F90, M249 SAW, Super Shorty, SDP 9mm, Commando 9, P10 RONI, CSRX 300, DP27, GONNE-6",Peacock,Legendary,Removed,Peacock Universal Skin; Alpha Tester,Game Launch
"M590A1, L85A2, P226 Mk 25, SMG-11, AR33, FMG-9, MP5K, G36C, R4-C, M45 MEUSOC, 5.7 USG, M1014, 556xi, UMP45, F2, 417, SG-CQB, P9, MP5, 6P41, AK-12, 9x19 VSN, SASG-12, P12, AUG A2, 552 Commando, G8A1, M870, 416-C, MP7, C8-SFW, CAMRS, Mk1 9mm, Super 90, 9mm C1, MK17 CQB, SR-25, D-50, MPX, SPAS-12, PARA-308, M249, PRB92, M12, SPAS-15, Luison, TYPE-89, SuperNova, P229, BEARING 9, MP5 SD, C7E, PDW-9, ITA12L, USP40, ITA12S, Vector, T-95 LSW, Six12, Q-929, Six12 SD, T-5 SMG, LMG-E, M762, RG15, Scorpion Evo 3 A1, FO-12, MK 14 EBR, BOSG 12.2, C75 Auto, SMG-12, K1A, V308, Spear .308, ALDA 5.56, ACS12, Bailiff 410, Keratos .357, Mx4 Storm, AR-15.50, M4, 1911 TACOPS, P-10C, SPSMG9, AK-74M, ARX200, .44 Mag Semi-Auto, AUG A3, TCSG12, F90, M249 SAW, Super Shorty, SDP 9mm, Commando 9, P10 RONI, CSRX 300, SC3000K, DP27, GONNE-6",Plasma Pink,Legendary,Removed,Plasma Pink Universal Skin; Alpha Packs,Operation Health
"M590A1, L85A2, P226 Mk 25, SMG-11, AR33, FMG-9, MP5K, G36C, R4-C, M45 MEUSOC, 5.7 USG, M1014, 556xi, UMP45, F2, 417, SG-CQB, P9, MP5, 6P41, AK-12, 9x19 VSN, SASG-12, P12, AUG A2, 552 Commando, G8A1, M870, 416-C, MP7, C8-SFW, CAMRS, Mk1 9mm, Super 90, 9mm C1, MK17 CQB, SR-25, D-50, MPX, SPAS-12, PARA-308, M249, PRB92, M12, SPAS-15, Luison, TYPE-89, SuperNova, P229, BEARING 9, MP5 SD, C7E, PDW-9, ITA12L, USP40, ITA12S, Vector, T-95 LSW, Six12, Q-929, Six12 SD, T-5 SMG, LMG-E, M762, RG15, Scorpion Evo 3 A1, FO-12, MK 14 EBR, BOSG 12.2, C75 Auto, SMG-12, K1A, V308, Spear .308, ALDA 5.56, ACS12, Bailiff 410, Keratos .357, Mx4 Storm, AR-15.50, M4, 1911 TACOPS, P-10C, SPSMG9, AK-74M, ARX200, .44 Mag Semi-Auto, AUG A3, TCSG12, F90, M249 SAW, Super Shorty, SDP 9mm, Commando 9, P10 RONI, CSRX 300, SC3000K, DP27, GONNE-6",Retro Steel,Legendary,Removed,Retro Steel Seasonal Skin; Outbreak Packs; Outbreak Event,Chimera
L85A2,Signature Six 20,Legendary,Removed,Signature Six '20 Seasonal Skin; Road to S.I. 2020 Event; Road to S.I. 2020 BattlePass,Shifting Tides
L85A2,Signature Six 21,Legendary,Removed,Road to S.I. 2021 Event; Six Invitational 2021 Battlepass; Signature Six '21 Seasonal Skin,Neon Dawn
L85A2,Velveteen,Legendary,Removed,Velveteen Seasonal Skin; Tour de Force Battlepass,Steel Wave
