name,type,stats_damage,stats_firerate,stats_ammo,stats_maxammo,stats_difficulty,scopes,barrels,grips,operators
.44 Mag Semi-Auto,Handgun,54,1,7,71,2,Custom Sight,,,Nomad; Kaid
.44 Vendetta,Revolver,78,1,6,66,1,Custom Sight,,,Deimos
1911 Tacops,Handgun,55,1,8,73,2,Custom Sight,Muzzle Brake; Suppressor,,Maverick; Thorn
416-C Carbine,Assault Rifle,38,740,25,176,3,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Jager
417,Marksman Rifle,69,1,20,161,2,Telescopic A; Telescopic B; Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Twitch; Lion; Sens; Rauora
5.7 USG,Handgun,42,1,20,121,2,Custom Sight,Muzzle Brake; Suppressor,,Striker; Ash; Thermite; Nokk; Zero; Castle; Pulse; Fenrir
552 Commando,Assault Rifle,43,690,30,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Iq; Grim
556XI,Assault Rifle,47,690,30,181,1,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Thermite; Osa
6P41,Light Machine Gun,46,680,100,301,3,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Fuze; Finka
9mm C1,Submachine Gun,36,575,34,171,1,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Frost
9x19VSN,Submachine Gun,34,750,30,181,2,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor; Extended Barrel,Vertical Grip; Angled Grip; Horizontal Grip,Kapkan; Tachanka; Azami
ACS12,Slug Shotgun,69,300,30,121,4,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,,Vertical Grip; Angled Grip; Horizontal Grip,Maestro; Alibi; Azami
AK-12,Assault Rifle,40,850,30,181,3,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Fuze; Ace
AK-74M,Assault Rifle,44,650,40,201,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Nomad; Deimos
Alda 5.56,Light Machine Gun,35,900,80,241,3,Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Maestro
AR-15.50,Marksman Rifle,67,1,10,101,2,Telescopic A; Telescopic B; Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Maverick; Tubarao
AR33,Assault Rifle,41,749,25,176,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Thatcher; Flores
ARX200,Assault Rifle,47,700,20,181,1,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,Vertical Grip; Angled Grip; Horizontal Grip,Nomad; Iana
AUG A2,Assault Rifle,42,720,30,181,2,Magnified A; Magnified B; Magnified C; Red Dot A; Red Dot B; Red Dot C; Holo A; Holo B; Holo C; Holo D; Reflex A; Reflex B; Reflex C; Iron Sight,Flash Hider; Compensator; Muzzle Brake; Suppressor,,Iq; Wamai
